127.0.0.1 - - [27/Jan/2019:00:02:52 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/index.jsp HTTP/1.1" 200 11390
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/css/bootstrap.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/megamenu.js HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/css/megamenu.css HTTP/1.1" 200 8005
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/menu_jquery.js HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/scripts.js HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/simpleCart.min.js HTTP/1.1" 200 25764
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/js/jquery.flexisel.js HTTP/1.1" 200 13472
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/logo.png HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/customer_add.jpeg HTTP/1.1" 200 32382
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/customer_list.jpeg HTTP/1.1" 200 32884
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/customer_delete.jpeg HTTP/1.1" 200 16871
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/enquiry_add.jpeg HTTP/1.1" 200 28054
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/enquiry_list.jpeg HTTP/1.1" 200 28703
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/enquiry_delete.jpeg HTTP/1.1" 200 21492
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/contact_add.jpeg HTTP/1.1" 200 30441
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:54 +0530] "GET /vms/images/contact_list.jpeg HTTP/1.1" 200 30195
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:55 +0530] "GET /vms/js/modernizr.custom.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:55 +0530] "GET /vms/images/c3.png HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:55 +0530] "GET /vms/images/c4.png HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:55 +0530] "GET /vms/images/c1.png HTTP/1.1" 200 8084
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:02:55 +0530] "GET /vms/images/c2.png HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:03:09 +0530] "GET /vms/index.jsp HTTP/1.1" 200 11390
0:0:0:0:0:0:0:1 - - [27/Jan/2019:00:03:09 +0530] "GET /vms/css/bootstrap.css HTTP/1.1" 200 121261
